Registration No,Title,Subj,Instructor
20408,Intro to Psychology II,PSY,Neuringer
20411,Intro to Psychology II,PSY,Neuringer
20414,Intro to Psychology II,PSY,Neuringer
20416,Intro to Psychology II,PSY,Neuringer
10413,Social Psychology,PSY,Oleson
10753,Health Psychology,PSY,Herman
20662,Social Development,PSY,Bulkley
20663,Community Psychology,PSY,Herman
10414,Psychobiology,PSY,Dickinson
20588,Intro Biology Lect and Lab,BIOL,Black
20426,Psychobiology,PSY,Rhodes
20428,Neuropsychology,PSY,Canseco-Gonzale
20429,Psychopharmacology,PSY,Dickinson
20430,Psychopharmacology,PSY,Dickinson
20431,Psychopharmacology,PSY,Dickinson
10416,Thinking,PSY,Reisberg
20432,Research Design  and  DataAnalysi,PSY,Oleson
20433,Research Design  and  DataAnalysi,PSY,Oleson
20434,Research Design  and  DataAnalysi,PSY,Oleson
10754,Psychopathology,PSY,Herman
20589,Intro Biology Lect and Lab,BIOL,Black
10417,Human Development,PSY,Bulkley
20435,Cognitive Processes,PSY,Reisberg
20436,Cognitive Processes,PSY,Reisberg
20437,Cognitive Processes,PSY,Reisberg
20438,Learning,PSY,Neuringer
20425,Music Perception,PSY,Reisberg
10755,Cross-Cultural Psychology,PSY,Bulkley
10418,Psycholinguistics,PSY,Canseco-Gonzale
20440,Psych of Language Acquisition,PSY,Canseco-Gonzale
10420,Junior Seminar,PSY,Rhodes
20590,Intro Biology Lect and Lab,BIOL,Black
20441,Psychobiology Research,PSY,Dickinson
20664,Clinical Psychology,PSY,Herman
10759,Introduction to Judaism,REL,McCalla
20521,Intro to Religions of Asia,REL,Brashier
10523,Introduction to Islam,REL,Feener
10524,Theory  and  Method in RelStudies,REL,Brashier
10785,Theory  and Methods in RelStudies,REL,Brashier
10786,Theory  and Methods in RelStudies,REL,Brashier
10787,Theory  and Methods in RelStudies,REL,Brashier
20522,History of Religion,REL,McCalla
20591,Intro Biology Lect and Lab,BIOL,Black
10525,Chinese Mahayana Texts,REL,Brashier
20523,Missing Persons World ofIslam,REL,Feener
10760,Romanticism and Religion,REL,McCalla
10527,Spcl Top Ancient Christianity,REL,Foat
20666,Junior Seminar,REL,Foat
10197,First Year Russian,RUSS,
10799,First Year Russian,RUSS,Lencek
10799,First Year Russian,RUSS,Lencek
10198,Second Year Russian,RUSS,
10537,Russian Short Fiction,RUSS,Lencek
20593,Vascular Plant Diversity,BIOL,Raubeson
10536,Advanced Russian,RUSS,Bershtein
20534,20th Century Russian Poetry,RUSS,Lencek
20530,Mod Russ Lit:Chekov toPresent,RUSS,Bershtein
10539,The Myth of St. Petersburg,RUSS,Bershtein
20535,Russ Lit: Gogol  and  Dostoevsky,RUSS,Lencek
20532,Russ Decadent/SymbolistCultur,RUSS,Bershtein
10541,20th C Russian CriticalTheory,RUSS,Lencek
10474,Introduction to Sociology,SOC,Tudor
10475,Introduction to Sociology,SOC,Hrycak
10476,Introduction to Sociology,SOC,Hrycak
20594,Vascular Plant Diversity,BIOL,Raubeson
10477,Introduction to Sociology,SOC,Schneiberg
